Thread ID: 7114880
Total: 2.600000

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00     2001  Class#inheritable_attributes
  0.00      0.00     0.00     0.00     0.00     2001  Class#read_inheritable_attribute
  0.00      0.00     0.00     0.00     0.00        1  <Class::Isy::Component::Base>#_widget_class
  0.00      0.00     0.00     0.00     0.00        1  <Class::Isy::Component::Base>#widget_class
  0.00      0.00     0.00     0.00     0.00        1  RSpec::Core::Hooks::AfterHook#run_in
  0.00      0.00     0.00     0.00     0.00        1  Isy::Component::Base#create_widget
  0.00      0.00     0.00     0.00     0.00     1000  Isy::Component::Base#widget
  0.00      2.59     0.00     0.00     2.59     1000  Isy::Component::Base#to_html
  0.00      0.00     0.00     0.00     0.00        1  RSpec::Core::Hooks::Hook#to_proc
  0.00      2.60     0.00     0.00     2.60        1  Integer#times
  0.00      0.00     0.00     0.00     0.00        2  Fixnum#+
  0.00      0.00     0.00     0.00     0.00        2  Time#initialize
  0.00      0.00     0.00     0.00     0.00        2  <Class::Time>#allocate
  0.00      0.00     0.00     0.00     0.00        2  <Class::Time>#now
  0.00      0.00     0.00     0.00     0.00        2  Struct#initialize
  0.00      0.00     0.00     0.00     0.00        2  <Class::Struct::Tms>#allocate
  0.00      0.00     0.00     0.00     0.00        2  <Module::Process>#times
  0.00      0.00     0.00     0.00     0.00        2  <Module::Benchmark>#times
  0.00      2.60     0.00     0.00     2.60        1  Benchmark#measure
  0.00      2.60     0.00     0.00     2.60        2  BasicObject#instance_eval
  0.00      2.60     0.00     0.00     2.60        1  Kernel#catch
  0.00      2.60     0.00     0.00     2.60        1  RSpec::Core::Example#with_pending_capture
  0.00      2.60     0.00     0.00     2.60        1  RSpec::Core::Example#run


